Year,"Adjusted net enrollment rate, primary Disparity","Literacy rate, adult Disparity","Literacy rate, youth Disparity",Primary completion rate Disparity,"Repeaters, primary Disparity","School enrollment, preprimary Disparity","School enrollment, primary (gross) Disparity","School enrollment, primary (net) Disparity","School enrollment, secondary (gross) Disparity","School enrollment, secondary (net) Disparity","School enrollment, tertiary Disparity","School enrollment, primary (gross) Disparity","School enrollment, primary (net) Disparity","School enrollment, secondary (gross) Disparity","School enrollment, secondary (net) Disparity"
1960,-13.357688655399254,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,-2.56096800400469,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237,-67.27965636290983,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237
1961,-13.357688655399254,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,-2.56096800400469,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237,-67.27965636290983,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237
1962,-13.357688655399254,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,-2.56096800400469,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237,-67.27965636290983,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237
1963,-13.357688655399254,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,-2.56096800400469,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237,-67.27965636290983,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237
1964,-13.357688655399254,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,-2.56096800400469,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237,-67.27965636290983,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237
1965,-13.357688655399254,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,-2.56096800400469,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237,-67.27965636290983,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237
1966,-13.357688655399254,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,-2.56096800400469,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237,-67.27965636290983,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237
1967,-13.357688655399254,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,-2.56096800400469,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237,-67.27965636290983,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237
1968,-13.357688655399254,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,-2.56096800400469,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237,-67.27965636290983,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237
1969,-13.357688655399254,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,-2.56096800400469,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237,-67.27965636290983,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237
1970,-13.357688655399254,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,-2.56096800400469,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237,-67.27965636290983,-13.739492030803351,-13.357688655399254,-46.94771838515381,-39.70275389771237
