Year,"Adjusted net enrollment rate, primary Disparity","School enrollment, preprimary Disparity","School enrollment, primary (gross) Disparity","School enrollment, primary (net) Disparity","School enrollment, secondary (gross) Disparity","School enrollment, secondary (net) Disparity","School enrollment, tertiary Disparity","School enrollment, primary (gross) Disparity","School enrollment, primary (net) Disparity","School enrollment, secondary (gross) Disparity","School enrollment, secondary (net) Disparity"
1960,-19.416922790137416,-4.961029759471245,23.66770438031524,-32.76554646593643,-38.28051434922236,-39.70275389771237,-51.343369094396365,23.66770438031524,-32.76554646593643,-38.28051434922236,-39.70275389771237
1961,-34.695205320080376,7.391540065657236,-8.978136826330925,-19.416922790137416,-32.090331217126675,-17.378513763582262,-64.15624967686301,-8.978136826330925,-19.416922790137416,-32.090331217126675,-17.378513763582262
1962,1.6481868359958223,26.228640072827858,24.164694430761248,-18.732210204807977,-13.412725951696777,-30.595627528520136,-64.80507920009609,24.164694430761248,-18.732210204807977,-13.412725951696777,-30.595627528520136
1963,-8.536564387382422,59.172235427236195,-9.901866822661452,-14.660118758655768,-54.57277015298205,-23.105020001181387,-27.49429361679049,-9.901866822661452,-14.660118758655768,-54.57277015298205,-23.105020001181387
1964,-10.935894448149359,59.657706844787285,-26.420911133403692,6.981015798558092,-20.48634092926558,-31.885207266563757,2.1285048722255744,-26.420911133403692,6.981015798558092,-20.48634092926558,-31.885207266563757
1965,-7.9471261530004975,15.994122226926095,-15.581433626332931,-16.712756562923055,-13.452704918244107,-49.47445826068318,-36.473115997413124,-15.581433626332931,-16.712756562923055,-13.452704918244107,-49.47445826068318
1966,-31.061385705123428,45.628152518524786,-14.184433408448605,-10.089942605488849,-6.722899284005771,-38.64065969075144,-60.35936076114632,-14.184433408448605,-10.089942605488849,-6.722899284005771,-38.64065969075144
1967,-15.27101640943877,-10.969631383861095,26.060567250880307,-18.732210204807977,-61.465385164730655,-40.54429554467989,-53.82492586211205,26.060567250880307,-18.732210204807977,-61.465385164730655,-40.54429554467989
1968,-24.12710125463791,26.228640072827858,-11.52084306453314,-30.163683933984625,-51.89985771400952,-33.545456941384664,-32.231825925280376,-11.52084306453314,-30.163683933984625,-51.89985771400952,-33.545456941384664
1969,-8.536564387382422,79.09956589172677,-13.739492030803351,9.611837243542364,-51.15817639877586,-38.33116970618323,-72.06359202130483,-13.739492030803351,9.611837243542364,-51.15817639877586,-38.33116970618323
1970,-2.94550109843301,-3.8723074691787667,-13.739492030803351,9.611837243542364,-46.94771838515381,-24.644472407111127,-67.27965636290983,-13.739492030803351,9.611837243542364,-46.94771838515381,-24.644472407111127
1971,-13.357688655399254,-2.56096800400469,-15.773042898104563,-13.357688655399254,-41.33043315008009,-43.84542700011363,-63.16042214205206,-15.773042898104563,-13.357688655399254,-41.33043315008009,-43.84542700011363
1972,-13.182846509008314,11.775733551797805,-15.421631344223496,-13.182846509008314,-43.21384129571379,-39.70275389771237,-61.44545522546584,-15.421631344223496,-13.182846509008314,-43.21384129571379,-39.70275389771237
1973,0.2806702300913078,12.74036099227494,-16.919590519221117,-10.089942605488849,-42.552176465486205,-39.85255967672746,-79.32763353093605,-16.919590519221117,-10.089942605488849,-42.552176465486205,-39.85255967672746
1974,-18.415858923753614,18.12704143096693,-18.830108132612473,-18.415858923753614,-40.57927264880669,-38.33116970618323,-51.343369094396365,-18.830108132612473,-18.415858923753614,-40.57927264880669,-38.33116970618323
1975,-12.078321674018857,26.913958434518175,-14.036757365103202,-12.078321674018857,-36.42712281949147,-34.04451631270695,-55.54906882151967,-14.036757365103202,-12.078321674018857,-36.42712281949147,-34.04451631270695
1976,-10.935894448149359,15.994122226926095,-11.52084306453314,-10.935894448149359,-35.78206807214738,-33.545456941384664,-60.35936076114632,-11.52084306453314,-10.935894448149359,-35.78206807214738,-33.545456941384664
1977,-32.76554646593643,26.78210505301356,-11.50776630940569,-14.074902503570824,-35.294423862417375,-31.885207266563757,-73.1136894625522,-11.50776630940569,-14.074902503570824,-35.294423862417375,-31.885207266563757
