Year,"Adjusted net enrollment rate, primary, female (% of primary school age children)","Adjusted net enrollment rate, primary, male (% of primary school age children)","School enrollment, preprimary, female (% gross)","School enrollment, preprimary, male (% gross)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)","School enrollment, secondary, female (% net)","School enrollment, secondary, male (% net)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)"
1960,68.58822,80.62843,5.6618800163269,5.81068992614746,78.4986724853516,90.616569519043,66.09758,80.62843,17.2015495300293,26.0052890777588,15.38111,20.65378,1.50414001941681,3.72715997695923
1961,64.97287,74.98977,8.26399993896484,6.51827001571655,115.163467407227,93.2869033813477,96.5612,99.49173,17.2015495300293,28.8690700531006,12.99715,23.14531,1.37307000160217,4.19638013839722
1962,63.63501,89.92846,10.4069204330444,6.51827001571655,77.7631225585938,118.814872741699,68.58822,80.62843,13.7807302474976,54.4538993835449,12.20769,23.14531,3.3597400188446,7.27609014511108
1963,85.4964,74.98977,5.8032398223877,4.84794998168945,118.43586730957,118.814872741699,96.5612,94.64643,16.5323104858398,24.3445606231689,12.99715,20.65378,3.98436999320984,5.28869009017944
1964,68.58822,74.98977,10.4069204330444,5.81068992614746,118.044998168945,117.622177124023,96.20638,89.92846,14.7380399703979,23.4887199401855,12.20769,20.65378,2.64386010169983,3.72715997695923
1965,85.4964,99.50108,5.8032398223877,5.81068992614746,116.999031066895,93.2869033813477,68.58822,99.50108,17.7810401916504,55.0009307861328,12.20769,20.65378,3.98436999320984,3.72715997695923
1966,71.81099,94.64643,5.6618800163269,5.19186019897461,115.75276184082,93.2869033813477,71.81099,77.99924,13.6035900115967,39.3872299194336,15.88172,24.58701,1.37307000160217,7.27609014511108
1967,63.63501,74.98977,5.8032398223877,5.95742988586426,77.7631225585938,94.9309997558594,96.5612,89.92846,14.7380399703979,24.8028602600098,15.88172,21.07572,2.64386010169983,3.90132999420166
1968,71.81099,76.13424,10.4069204330444,5.33258008956909,118.43586730957,123.859268188477,96.5612,89.92846,24.9853992462158,24.8028602600098,15.38111,21.07572,2.64386010169983,3.90132999420166
1969,71.81099,94.64643,7.56081008911133,5.81068992614746,118.43586730957,120.54239654541,85.4964,99.49173,28.8904399871826,23.9558200836182,12.20769,20.24585,2.64386010169983,5.49525022506714
