Year,"Adjusted net enrollment rate, primary, female (% of primary school age children)","Adjusted net enrollment rate, primary, male (% of primary school age children)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","Primary completion rate, female (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Repeaters, primary, female (% of female enrollment)","Repeaters, primary, male (% of male enrollment)","School enrollment, preprimary, female (% gross)","School enrollment, preprimary, male (% gross)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)","School enrollment, secondary, female (% net)","School enrollment, secondary, male (% net)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)"
1960,85.4964,74.98977,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,6.01197004318237,4.84794998168945,86.5453262329102,93.2869033813477,80.85473,89.92846,22.9600391387939,39.3872299194336,12.42272,22.16401,2.64386010169983,5.49525022506714
1961,63.63501,99.49173,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.8032398223877,5.81068992614746,77.7631225585938,123.859268188477,64.97287,77.99924,17.7810401916504,26.7862091064453,12.99715,22.16401,2.64386010169983,4.19638013839722
1962,71.81099,77.99924,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,6.01197004318237,4.84794998168945,86.5453262329102,118.814872741699,64.97287,74.98977,19.0481491088867,38.9996681213379,12.99715,23.14531,1.37307000160217,8.18875026702881
1963,64.97287,89.92846,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,10.4069204330444,5.81068992614746,118.044998168945,93.2251815795898,63.63501,99.49173,16.5323104858398,24.3445606231689,12.99715,24.58701,1.47747004032135,5.49525022506714
1964,80.85473,74.98977,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.8032398223877,4.84794998168945,120.317573547363,93.2251815795898,63.63501,74.98977,13.6035900115967,35.7619514465332,12.42272,23.14531,1.50414001941681,3.72715997695923
1965,96.20638,99.50108,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,6.01197004318237,5.95742988586426,78.1663131713867,93.2869033813477,66.09758,99.49173,13.9854202270508,27.4799194335938,15.38111,22.16401,2.64386010169983,8.18875026702881
1966,63.63501,99.50108,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.6618800163269,5.81068992614746,94.3998565673828,125.104263305664,71.81099,74.98977,17.2015495300293,39.3872299194336,17.06446,20.65378,1.50414001941681,4.19638013839722
1967,80.85473,99.50108,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,10.4069204330444,5.81068992614746,115.163467407227,93.2869033813477,96.5612,74.98977,14.7380399703979,23.9558200836182,12.20769,23.14531,3.98436999320984,3.72715997695923
1968,96.5612,89.92846,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,8.26399993896484,5.95742988586426,75.7208786010742,92.8117599487305,71.81099,78.01059,44.8339691162109,39.3872299194336,12.20769,20.65378,3.3597400188446,5.49525022506714
1969,80.85473,89.92846,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,8.26399993896484,5.33258008956909,115.163467407227,90.616569519043,96.5612,80.62843,22.9600391387939,38.9996681213379,15.38111,20.65378,1.37307000160217,5.28869009017944
1970,96.20638,76.13424,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,7.56081008911133,5.81068992614746,78.1663131713867,90.616569519043,64.97287,99.50108,12.6047496795654,23.7591094970703,15.88172,23.14531,1.37307000160217,4.19638013839722
1971,64.97287,74.98977,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.6618800163269,5.81068992614746,77.784782409668,92.3514099121094,64.97287,74.98977,13.7807302474976,23.4887199401855,14.61838,23.31611,3.98436999320984,5.49525022506714
1972,66.09758,76.13424,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.8032398223877,5.19186019897461,78.4986724853516,92.8117599487305,66.09758,76.13424,13.6035900115967,23.9558200836182,12.20769,20.24585,1.50414001941681,3.90132999420166
1973,63.63501,76.13424,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,6.01197004318237,5.33258008956909,77.7631225585938,93.5998306274414,71.81099,78.01059,13.9854202270508,24.3445606231689,12.42272,20.65378,1.47747004032135,7.27609014511108
1974,63.63501,77.99924,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.72673988342285,4.84794998168945,75.7208786010742,93.2869033813477,63.63501,77.99924,14.7380399703979,24.8028602600098,12.99715,21.07572,1.47747004032135,8.18875026702881
1975,68.58822,78.01059,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,7.56081008911133,5.95742988586426,80.1393890380859,93.2251815795898,68.58822,78.01059,16.5323104858398,26.0052890777588,14.61838,22.16401,2.64386010169983,5.28869009017944
1976,71.81099,80.62843,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,10.4069204330444,5.33258008956909,83.9941482543945,94.9309997558594,71.81099,80.62843,17.2015495300293,26.7862091064453,15.38111,23.14531,1.47747004032135,3.72715997695923
1977,96.20638,77.99924,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,8.26399993896484,6.51827001571655,86.5453262329102,97.7999114990234,85.4964,74.98977,17.7810401916504,27.4799194335938,15.88172,23.31611,1.50414001941681,7.27609014511108
1978,80.85473,89.92846,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.72673988342285,5.95742988586426,94.3998565673828,106.691268920898,80.85473,89.92846,19.0481491088867,28.8690700531006,17.06446,24.58701,3.98436999320984,7.27609014511108
1979,64.97287,99.50108,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,10.4069204330444,8.24450016021729,94.3998565673828,121.61979675293,63.63501,80.62843,19.0481491088867,23.4887199401855,15.88172,23.14531,3.3597400188446,5.49525022506714
1980,71.81099,94.64643,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.6618800163269,5.81068992614746,77.784782409668,121.12712097168,80.85473,99.49173,13.7807302474976,54.4538993835449,17.06446,20.65378,1.50414001941681,7.27609014511108
1981,85.4964,94.64643,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.8032398223877,8.24450016021729,103.975662231445,117.622177124023,85.4964,94.64643,22.9600391387939,33.3656883239746,15.38111,21.07572,1.47747004032135,5.28869009017944
1982,80.85473,77.99924,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,8.26399993896484,5.81068992614746,110.022857666016,121.12712097168,66.09758,80.62843,24.9853992462158,35.7619514465332,15.38111,21.07572,2.44268989562988,5.28869009017944
1983,66.09758,78.01059,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.6618800163269,5.95742988586426,115.163467407227,120.875198364258,63.63501,99.49173,28.8904399871826,38.9996681213379,12.20769,21.07572,2.64386010169983,5.49525022506714
1984,80.85473,77.99924,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.6618800163269,5.19186019897461,118.43586730957,123.685707092285,66.09758,77.99924,29.1636009216309,39.3872299194336,12.20769,22.16401,3.3597400188446,7.27609014511108
1985,96.20638,80.62843,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,8.26399993896484,6.51827001571655,120.317573547363,125.104263305664,96.5612,99.49173,19.0481491088867,26.0052890777588,12.99715,24.58701,3.98436999320984,8.18875026702881
1986,96.20638,99.50108,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.72673988342285,8.24450016021729,118.044998168945,123.859268188477,64.97287,74.98977,17.2015495300293,23.9558200836182,12.20769,22.16401,2.44268989562988,7.27609014511108
1987,96.5612,99.50108,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,5.8032398223877,6.51827001571655,116.999031066895,121.61979675293,96.5612,99.50108,24.9853992462158,24.3445606231689,12.99715,23.31611,2.64386010169983,4.19638013839722
1988,66.09758,77.99924,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,6.01197004318237,8.24450016021729,115.75276184082,120.54239654541,63.63501,89.92846,44.4684791564941,55.0009307861328,15.88172,20.65378,2.64386010169983,5.28869009017944
1989,96.20638,99.49173,57.6946296691895,77.4749984741211,81.6483993530273,89.5912094116211,,,,,8.26399993896484,5.81068992614746,115.695907592773,118.814872741699,96.20638,99.49173,44.8339691162109,54.4538993835449,12.20769,20.65378,3.98436999320984,4.19638013839722
1990,94.69707,97.71309,75.2701187133789,88.0245208740234,95.0692520141602,97.4022674560547,,,,,,,113.685302734375,116.485137939453,94.69707,97.71309,42.9668884277344,51.1860313415527,,,,
1991,93.84556,96.74333,,,,,,,,,,,112.832397460938,113.70645904541,93.84556,96.74333,41.0478515625,49.5046806335449,,,,
1992,92.80349,96.05264,,,,,,,,,,,112.029441833496,111.636817932129,92.80349,96.05264,40.4505996704102,48.4690895080566,,,,
1993,91.71061,94.74458,,,,,,,,,,,111.253349304199,112.436988830566,91.71061,94.74458,39.6399803161621,48.4627304077148,,,7.55409002304077,11.3035697937012
1994,92.04318,95.47367,,,,,,,,,,,112.639289855957,114.029693603516,92.04318,95.47367,41.5133399963379,48.5002593994141,,,,
1995,91.711,95.45061,,,,,96.9420700073242,93.6216583251953,7.38841,7.82847,19.1009902954102,18.1031303405762,112.45263671875,114.089996337891,91.711,95.45061,44.442138671875,51.2360801696777,38.75642,44.80908,8.85881042480469,13.886269569397
