Year,"Adjusted net enrollment rate, primary Disparity","School enrollment, preprimary Disparity","School enrollment, primary (gross) Disparity","School enrollment, primary (net) Disparity","School enrollment, secondary (gross) Disparity","School enrollment, secondary (net) Disparity","School enrollment, tertiary Disparity","School enrollment, primary (gross) Disparity","School enrollment, primary (net) Disparity","School enrollment, secondary (gross) Disparity","School enrollment, secondary (net) Disparity"
1960,-14.932958511036354,-2.56096800400469,-13.372716599191966,-18.021992986840996,-33.85365000714011,-25.52883782048613,-59.64380309095427,-13.372716599191966,-18.021992986840996,-33.85365000714011,-25.52883782048613
1961,-13.357688655399254,26.78210505301356,23.450841686158302,-2.94550109843301,-40.41529741557498,-43.84542700011363,-67.27965636290983,23.450841686158302,-2.94550109843301,-40.41529741557498,-43.84542700011363
1962,-29.23818555327201,59.657706844787285,-34.5510197804536,-14.932958511036354,-74.69284954152995,-47.25631240195098,-53.82492586211205,-34.5510197804536,-14.932958511036354,-74.69284954152995,-47.25631240195098
1963,14.010751066445465,19.705026749581762,-0.31898820693344965,2.0230768344881094,-32.090331217126675,-37.07132544260664,-24.662441450135063,-0.31898820693344965,2.0230768344881094,-32.090331217126675,-37.07132544260664
1964,-8.536564387382422,79.09956589172677,0.3594739149201197,6.981015798558092,-37.254818449329655,-40.893676605444625,-29.065022214130998,0.3594739149201197,6.981015798558092,-37.254818449329655,-40.893676605444625
1965,-14.074902503570824,-0.1282137552416221,25.418495872474672,-31.06786378600111,-67.67138312478617,-40.893676605444625,6.900965288333366,25.418495872474672,-31.06786378600111,-67.67138312478617,-40.893676605444625
1966,-24.12710125463791,9.05301374341933,24.08254282772586,-7.933731149175295,-65.461927534831,-35.4060538471331,-81.12901332696163,24.08254282772586,-7.933731149175295,-65.461927534831,-35.4060538471331
1967,-15.141745334063556,-2.588197703214615,-18.084584847328493,7.375573872831802,-40.57927264880669,-24.644472407111127,-32.231825925280376,-18.084584847328493,7.375573872831802,-40.57927264880669,-24.644472407111127
1968,-5.678456894033488,95.1573208136355,-4.378679898749441,7.375573872831802,0.735959418762317,-27.019764923808065,-32.231825925280376,-4.378679898749441,7.375573872831802,0.735959418762317,-27.019764923808065
1969,-24.12710125463791,30.11897356781203,-1.7475421894789036,-14.066827463951034,20.59883521557611,-39.70275389771237,-51.88826725961276,-1.7475421894789036,-14.066827463951034,20.59883521557611,-39.70275389771237
